risk_score,event_count,total_usage,flagged_status,user_bin_score,days_since_activity,account_type,months_since_update,membership_flag,loyalty_tier,satisfaction_score,reported_fraud_flag,account_balance,num_transactions,high_risk_flag,account_age_years,stability_rank,rule_alert_flag,violation_count,device_consistency_flag,education_level,gender_flag,employment_status,recent_alerts,weeks_since_account_open
18,0,42,0,999,2,3,3,1,1,9,0,52428,995,1,1,1,0,0,2,1,2,2,0,0
11,0,200,0,999,0,3,3,1,1,9,0,996147,995,0,6,2,0,4,2,1,1,1,0,0
70,0,6,0,999,2,3,2,1,1,9,0,52428,995,1,6,1,0,0,1,3,1,1,0,0
16,0,48,0,999,99,3,7,2,1,9,0,52428,119,1,1,3,0,0,2,1,2,1,0,0
43,0,28,0,999,0,3,4,1,1,9,0,52428,995,1,6,1,0,0,1,3,2,1,0,0
30,0,461,0,999,8,2,2,1,6,9,0,52428,122,2,1,3,12,0,2,1,1,1,0,10
29,0,6,0,1,3,1,2,1,1,9,0,52428,18,2,1,2,0,0,0,5,1,1,0,17
39,0,6,0,999,4,3,1,1,1,9,0,52428,995,1,5,2,0,0,1,1,2,1,0,0
3,0,4,3,999,0,3,4,2,1,9,1,996147,995,0,6,2,0,0,1,3,2,1,0,0
45,0,4,0,999,2,1,5,1,1,9,0,52428,1,2,1,9,0,0,2,1,2,1,0,52
5,0,48,0,999,0,3,3,1,1,9,1,996147,995,0,6,3,0,0,1,2,1,1,0,0
1,0,6,0,999,1,3,6,2,1,2,0,996147,995,0,6,9,0,0,1,3,2,1,0,0
80,0,4,0,999,2,3,4,1,1,9,0,52428,995,1,1,3,0,0,2,1,2,1,0,0
39,18,28,0,999,2,1,2,1,1,9,0,52428,995,2,1,3,0,0,2,1,1,2,0,0
4,26,29,0,999,0,3,6,1,1,9,0,52428,995,0,6,9,0,0,2,1,2,1,0,19
16,0,4,0,999,2,3,4,1,1,9,0,52428,995,1,1,2,0,0,2,1,2,2,0,0
7,0,4,0,999,1,3,7,1,1,9,0,996147,995,0,6,9,0,0,1,1,2,1,0,0
20,0,6,0,999,2,3,1,1,1,9,1,52428,995,1,6,3,0,0,2,1,2,1,0,12
36,0,210,0,999,10,3,8,1,1,9,1,52428,995,1,1,3,0,0,2,1,1,2,0,0
1,0,200,0,999,0,3,6,1,1,9,1,996147,995,0,6,2,0,0,2,1,2,2,0,0
10,0,29,0,999,0,3,10,1,1,9,0,996147,995,0,6,2,0,0,2,1,2,1,0,0
18,0,4,0,999,3,1,1,1,1,9,1,52428,5,2,1,2,0,0,1,1,1,1,0,52
38,0,4,0,999,2,1,3,1,1,9,1,52428,119,2,6,2,0,0,1,1,1,2,0,52
53,0,4,0,999,0,3,2,2,1,9,0,52428,995,1,5,2,0,0,1,1,2,1,0,0
3,0,4,0,132,2,3,7,1,1,9,1,996147,995,0,6,3,0,0,2,6,2,1,0,0
66,0,54,0,999,2,3,5,1,1,9,0,52428,995,1,6,2,0,0,2,1,2,1,0,0
36,0,19,0,999,2,1,5,2,1,9,0,52428,112,2,1,1,0,0,1,1,1,1,0,0
36,0,48,0,999,2,3,3,1,1,9,0,52428,995,1,1,3,0,0,2,1,2,2,0,0
73,0,27,0,999,9,3,3,1,6,9,0,52428,995,0,6,9,0,0,2,1,2,2,0,0
47,0,4,0,999,1,3,3,2,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
10,0,18,0,999,0,3,5,2,1,9,0,996147,995,0,6,2,0,0,1,1,1,1,0,0
18,0,4,0,999,6,1,3,1,1,9,0,52428,125,2,1,1,0,0,1,1,1,1,0,27
0,0,30,0,999,2,1,3,1,1,9,0,52428,39,2,6,2,0,3,2,1,1,1,0,0
3,0,4,0,999,1,3,5,1,1,9,0,996147,995,0,6,9,0,0,2,1,1,1,0,0
21,0,28,0,999,4,3,2,1,1,9,0,52428,995,1,6,2,0,0,2,1,1,1,0,0
17,0,4,0,999,4,3,4,1,1,9,0,52428,995,1,1,3,0,0,2,1,2,1,0,0
0,0,4,0,999,0,3,10,2,1,9,0,996147,995,0,6,9,0,0,1,3,1,1,0,0
47,0,4,0,999,0,3,4,1,1,9,0,52428,995,1,6,2,0,0,2,1,1,2,0,0
5,0,4,3,999,0,3,5,1,1,9,1,996147,995,0,6,4,0,0,2,1,2,2,0,0
30,0,21,0,999,3,3,7,1,1,9,0,52428,995,1,1,2,0,0,1,1,1,1,0,0
12,0,40,0,999,0,3,3,1,1,9,0,52428,995,0,6,2,0,0,2,1,2,1,0,0
3,0,35,0,999,1,3,5,2,1,9,0,996147,995,0,6,9,0,0,2,1,1,1,2,0
5,0,18,0,999,0,3,3,1,1,9,0,996147,995,0,6,2,0,0,1,1,2,2,0,0
64,0,48,0,999,4,3,2,1,1,9,0,52428,995,1,6,2,0,0,2,6,1,1,0,0
47,0,200,0,999,6,1,17,1,1,9,0,52428,21,2,1,2,0,0,2,1,1,2,0,40
51,0,40,0,999,6,1,1,1,1,9,0,52428,1,2,1,3,0,0,2,1,1,2,0,52
31,0,4,0,999,2,3,2,1,1,9,0,52428,995,1,1,2,0,0,2,1,2,1,0,0
22,0,4,0,999,0,1,1,2,1,9,0,52428,1,2,1,2,0,0,1,3,1,1,0,0
52,0,37,2,999,3,3,6,1,1,9,0,52428,995,1,1,3,0,0,2,1,1,1,0,0
20,0,48,0,999,2,1,5,2,1,9,0,52428,11,2,1,3,0,0,2,1,1,1,0,52
46,0,35,0,999,2,3,4,1,1,9,0,52428,1,1,1,2,0,0,1,1,2,1,0,0
35,0,17,0,999,6,3,8,2,1,9,0,52428,995,1,1,2,0,0,1,1,2,1,0,0
13,0,42,0,999,1,3,4,1,1,9,0,996147,995,0,6,2,0,0,2,1,1,1,0,0
30,0,4,0,999,0,1,2,2,1,9,0,52428,35,2,6,9,0,0,2,1,1,1,0,52
17,0,36,0,999,2,3,5,1,1,9,1,52428,995,1,1,2,0,0,1,1,2,2,0,0
15,0,20,0,999,2,3,5,1,1,9,1,52428,995,1,1,2,0,0,2,2,2,2,0,0
58,0,28,4,999,0,3,8,2,1,9,1,52428,995,1,2,1,0,0,1,3,2,1,0,0
27,0,10,0,1,2,1,17,2,1,9,0,52428,91,2,1,2,0,0,2,1,1,1,0,39
18,0,48,0,999,2,3,4,1,1,9,0,996147,995,1,1,2,0,0,1,1,2,1,0,0
11,0,4,0,999,2,3,4,2,1,9,0,996147,995,0,6,9,0,0,1,3,1,1,0,0
13,0,25,0,999,2,3,9,1,1,9,0,996147,995,0,6,9,0,0,2,1,2,1,0,0
40,0,4,0,999,0,3,7,1,1,9,0,52428,995,1,1,2,0,1,2,1,2,2,0,0
6,0,4,0,999,2,3,6,1,1,9,0,996147,995,0,6,9,0,0,2,1,1,2,0,0
28,0,4,0,999,10,3,2,1,1,9,0,52428,53,1,6,2,0,0,2,1,2,2,0,0
2,0,4,0,999,0,3,10,2,1,9,1,996147,995,0,6,9,0,5,2,1,1,1,0,0
37,0,4,0,999,0,3,5,2,1,9,0,52428,995,1,1,9,0,0,1,3,2,1,0,12
45,0,4,0,999,4,3,2,1,1,9,0,996147,995,1,6,2,0,1,1,1,1,1,0,12
60,0,48,0,40,4,3,5,1,1,9,0,52428,995,1,6,1,0,0,2,1,2,1,0,17
16,0,29,0,999,2,3,4,2,1,9,0,52428,995,1,1,1,0,0,1,1,1,1,0,0
47,0,110,0,999,1,1,1,2,1,9,0,52428,75,2,1,2,0,0,2,1,1,1,0,52
1,0,48,0,999,0,3,4,2,1,9,0,996147,995,0,6,1,0,0,1,1,1,1,0,0
0,0,4,0,999,1,3,6,2,1,9,1,996147,995,0,6,1,0,0,1,3,2,1,0,0
52,0,4,0,999,6,1,5,1,1,9,0,52428,108,2,6,2,0,0,2,1,1,2,0,52
24,0,17,0,999,10,2,3,1,1,9,0,52428,91,2,6,1,0,0,1,1,1,2,0,52
20,0,26,0,999,2,3,7,1,1,9,0,52428,995,1,1,1,0,0,2,1,2,1,0,0
9,0,4,0,999,2,3,4,2,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
10,0,19,0,999,0,3,2,1,1,9,0,996147,98,0,6,9,0,0,2,1,2,2,0,0
25,0,17,0,999,2,3,7,2,6,9,0,52428,1,1,1,2,0,0,1,1,2,1,0,0
2,0,4,0,999,1,3,4,1,1,9,0,996147,995,0,6,3,0,0,2,1,1,2,0,0
33,0,10,0,999,2,1,4,2,1,9,0,52428,75,2,1,2,0,0,1,1,1,1,0,52
4,0,19,0,999,0,3,4,1,1,9,1,996147,995,0,6,9,0,0,1,1,1,1,0,0
31,0,4,0,999,2,3,3,2,1,9,0,52428,995,1,6,1,0,0,1,3,2,1,0,0
6,0,29,0,999,0,3,5,1,1,9,0,996147,995,0,6,2,0,0,1,1,2,1,0,0
2,0,4,0,999,1,3,6,2,1,9,0,996147,995,0,6,9,0,0,2,1,1,1,0,0
1,0,4,0,999,0,3,6,2,1,9,0,996147,995,0,6,9,0,0,1,1,1,1,0,0
11,0,6,0,999,0,3,6,1,1,9,0,996147,995,0,6,1,0,0,1,3,2,1,0,0
10,0,48,0,999,1,3,8,2,1,9,0,996147,995,0,6,2,0,0,1,1,1,1,0,0
98,0,4,0,999,99,3,3,1,1,9,1,52428,995,1,1,2,0,0,1,1,1,1,0,0
27,0,4,0,999,1,3,7,1,1,9,0,52428,995,1,1,2,0,0,2,1,2,2,0,0
9,0,4,0,999,0,3,3,2,1,9,1,996147,995,0,6,9,0,0,1,1,1,1,0,0
51,0,4,2,999,99,3,3,1,1,9,1,52428,995,1,6,3,0,0,1,2,2,1,0,0
10,0,4,0,999,1,3,7,2,1,9,1,996147,995,0,6,2,0,0,1,1,1,1,0,0
35,0,5,0,999,6,3,3,1,1,9,0,52428,995,1,1,2,0,0,1,1,2,2,0,0
25,0,4,0,999,6,3,6,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,2,0,0
34,0,200,0,999,2,1,4,1,1,9,0,52428,1,2,6,1,0,0,2,1,1,1,0,52
57,0,4,0,999,0,1,6,1,1,9,0,52428,124,2,1,3,0,0,2,1,2,1,0,40
39,0,410,0,999,5,1,5,1,1,9,0,52428,102,2,6,3,0,0,2,1,1,2,0,52
53,0,4,0,999,6,3,4,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,2,0,0
26,0,4,0,999,2,3,4,1,1,9,0,52428,118,2,4,2,0,0,1,1,1,1,0,52
32,0,4,0,999,5,3,3,1,1,9,0,52428,995,1,1,2,0,0,2,1,2,2,0,0
63,0,4,0,999,1,3,3,1,1,9,0,996147,995,0,6,9,0,0,2,2,2,2,0,0
9,0,29,0,999,9,3,9,1,1,9,0,996147,995,0,6,9,0,0,1,3,1,2,0,0
62,0,4,0,999,10,3,4,1,1,9,0,52428,995,1,6,2,0,0,1,1,2,1,0,0
16,0,4,0,40,1,3,4,1,1,9,0,52428,995,2,4,3,0,0,0,1,2,1,0,27
15,0,48,0,999,2,1,2,2,1,9,0,52428,119,2,2,2,0,0,2,1,1,1,0,52
3,0,200,0,999,0,3,4,1,1,9,0,996147,995,0,6,3,0,0,2,1,2,2,0,0
3,0,4,0,999,0,3,10,2,1,9,0,52428,995,0,6,9,0,0,1,1,2,1,0,0
31,0,4,0,159,2,2,5,1,3,9,0,52428,104,2,4,2,0,0,1,1,1,2,0,52
7,0,462,0,999,1,3,4,1,1,9,0,996147,995,0,6,9,0,0,2,1,2,2,0,0
28,0,18,3,999,1,1,4,2,1,9,1,52428,60,2,1,2,0,0,1,1,1,1,0,52
27,0,18,0,999,2,1,1,1,1,9,0,52428,118,2,6,1,0,0,1,1,1,2,0,47
42,0,31,0,999,4,3,1,1,1,9,0,52428,995,1,1,2,0,0,2,6,2,1,2,0
60,0,4,0,999,0,3,3,1,1,9,0,52428,995,1,1,3,0,0,2,1,2,2,0,0
45,0,4,0,999,6,3,2,1,1,9,0,52428,995,1,6,1,0,0,1,1,2,1,0,0
24,0,40,0,999,4,1,1,1,1,9,0,52428,1,2,6,1,0,0,1,1,1,2,0,26
26,0,4,0,999,5,1,2,1,1,9,0,52428,102,2,1,2,0,0,2,1,1,1,0,35
49,0,48,0,999,6,1,3,1,1,9,0,52428,1,2,6,1,0,0,1,1,1,1,0,52
17,0,4,0,999,5,1,5,1,1,9,1,52428,1,2,6,1,0,0,1,1,1,2,0,52
63,0,4,0,999,2,1,5,1,1,9,0,52428,1,2,1,2,0,0,2,1,1,2,0,52
30,0,38,0,999,5,1,1,1,1,9,1,52428,102,2,6,1,0,0,1,3,1,2,0,52
4,0,4,0,999,0,3,10,1,1,9,1,996147,995,0,6,9,0,0,1,1,1,1,0,0
43,0,18,0,999,0,3,2,1,1,9,0,52428,995,1,6,3,0,0,2,1,2,1,0,0
47,0,4,0,999,1,1,4,1,1,9,0,52428,75,2,1,1,0,0,1,3,1,1,0,52
48,0,4,0,999,3,2,3,2,1,9,0,52428,53,2,1,2,0,0,2,3,1,1,0,52
9,0,48,0,999,0,3,13,1,1,9,0,996147,995,0,6,9,0,0,1,1,2,2,0,0
59,0,4,0,999,1,3,8,2,1,9,0,52428,995,1,6,2,0,0,1,1,1,1,0,0
39,0,4,0,999,0,1,3,1,1,9,0,52428,1,2,5,2,0,0,2,1,1,1,0,10
15,0,200,3,999,2,3,4,1,1,9,1,52428,995,1,5,2,0,0,2,1,2,1,0,0
17,0,40,3,999,0,3,6,1,1,9,1,52428,995,1,5,3,0,0,0,1,2,2,0,0
3,0,4,0,999,9,3,6,2,1,9,0,996147,995,0,6,1,0,0,1,3,1,1,0,45
10,0,48,0,999,1,3,6,1,1,9,0,52428,995,0,6,1,0,0,2,1,2,2,0,0
7,0,39,0,999,6,3,2,1,1,9,0,52428,995,1,1,1,0,4,1,2,2,2,0,0
24,0,4,3,999,6,3,4,1,1,9,4,52428,995,1,1,2,0,0,1,1,2,2,0,0
2,0,4,0,999,1,3,6,1,1,9,0,996147,995,0,6,3,0,0,2,1,2,2,0,0
23,0,48,0,999,1,1,2,2,1,9,0,52428,1,2,1,1,0,0,1,3,1,1,0,29
1,0,500,0,999,0,3,5,1,1,9,0,996147,995,0,6,2,0,0,2,1,1,1,0,0
10,0,4,0,3,1,1,2,1,1,9,0,52428,131,2,1,2,0,0,2,1,1,1,0,52
28,0,29,0,999,6,1,3,1,1,9,0,52428,5,2,1,1,0,0,1,1,2,2,0,40
6,0,4,0,999,1,3,19,2,1,2,1,52428,995,0,6,9,0,0,1,1,1,1,0,0
32,0,40,0,1,5,1,2,1,1,9,1,52428,995,2,1,2,0,0,2,1,1,2,0,52
6,0,18,0,999,1,3,4,1,1,9,0,996147,995,0,6,4,0,0,2,1,2,2,0,0
48,0,4,0,87,3,2,8,2,1,9,0,52428,5,2,6,2,0,0,1,1,1,1,0,52
20,0,6,0,999,4,3,7,2,1,9,1,52428,995,1,6,2,0,0,2,1,2,1,0,0
27,16,39,0,999,6,3,8,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
80,0,4,0,999,2,3,4,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
13,0,200,0,999,1,3,5,2,1,9,0,996147,995,0,6,2,0,0,1,1,2,1,0,0
12,0,48,0,999,9,3,10,1,1,9,0,996147,995,0,6,2,0,0,1,1,2,2,0,0
64,0,4,3,999,2,3,5,1,1,9,1,52428,995,1,1,1,0,0,1,2,2,1,0,0
13,0,4,0,999,0,3,9,1,1,9,0,996147,995,0,6,2,0,0,1,3,2,1,0,0
46,0,4,0,999,3,3,7,1,1,9,1,52428,995,1,1,2,0,0,1,1,2,1,0,52
39,0,17,0,999,4,3,2,1,1,9,0,52428,995,1,1,9,0,0,2,1,2,2,0,0
33,0,4,0,999,10,3,4,1,1,9,0,52428,995,1,6,1,0,0,1,1,2,1,0,0
10,0,48,0,999,2,1,1,1,1,9,0,52428,118,2,6,2,0,0,2,1,1,2,0,27
34,0,4,0,999,3,3,2,2,1,9,0,52428,995,1,1,1,0,0,1,3,1,1,0,0
5,0,4,0,999,1,3,2,1,1,9,0,52428,995,0,6,2,0,0,2,1,1,1,0,0
20,0,4,0,999,2,3,4,1,1,9,0,52428,995,1,1,2,0,0,2,1,2,1,0,0
30,0,4,0,999,0,1,4,1,1,9,0,52428,1,2,4,3,0,0,2,1,2,2,0,0
19,0,200,0,999,3,1,6,2,1,9,0,52428,75,2,1,2,0,0,1,1,1,1,0,52
27,0,200,0,999,0,3,3,1,1,9,1,52428,995,1,1,1,0,0,1,1,2,1,0,0
1,0,4,0,999,1,1,5,1,1,9,0,996147,102,0,2,9,0,1,2,1,2,1,0,0
65,0,4,0,999,2,3,5,1,1,9,1,996147,995,0,6,9,0,0,1,3,2,2,0,0
14,0,4,0,999,99,3,4,1,1,9,0,52428,995,1,1,1,0,0,1,3,2,1,0,0
9,0,5,0,999,0,3,5,1,1,9,1,996147,995,0,6,9,0,0,2,1,2,1,0,0
34,0,4,4,999,0,1,4,2,1,9,1,52428,995,2,1,2,0,0,2,1,1,1,0,38
9,0,48,0,999,1,3,5,1,1,9,0,996147,995,0,6,9,0,0,2,1,1,1,0,0
43,0,48,0,999,6,3,3,1,1,9,1,52428,995,1,1,2,0,0,2,1,2,1,0,0
28,0,17,0,999,6,3,4,2,1,9,0,52428,995,1,6,2,0,0,1,3,1,1,0,0
31,0,4,0,999,3,2,4,1,3,9,0,52428,90,2,4,3,0,0,0,1,2,1,0,52
39,0,48,0,999,6,1,1,2,1,9,0,52428,91,2,1,2,0,0,1,1,1,1,0,52
6,0,200,0,999,1,3,5,1,1,9,0,996147,995,0,6,2,0,0,2,1,2,2,0,0
13,0,48,0,999,3,3,3,1,1,9,0,52428,995,1,6,2,0,0,2,1,2,2,0,0
44,0,4,0,999,2,3,1,1,1,9,0,52428,995,1,1,9,0,0,1,1,1,2,0,0
57,0,48,0,999,2,1,7,1,1,9,0,52428,1,2,1,1,0,0,2,2,2,2,0,52
10,0,30,0,999,2,3,3,1,1,9,0,52428,995,0,6,9,0,0,1,1,2,1,0,0
26,0,4,0,999,0,1,4,1,1,9,1,52428,118,2,6,3,0,0,2,1,1,1,0,52
30,0,4,0,999,7,1,4,1,1,9,1,52428,124,2,1,2,0,0,2,1,1,1,0,43
42,0,40,0,999,8,1,6,1,1,9,1,52428,75,2,1,2,0,0,2,1,1,2,0,52
20,0,4,0,159,0,3,10,2,1,9,0,996147,995,0,6,9,0,0,2,1,1,1,0,0
28,0,4,0,999,5,1,5,2,1,9,0,52428,100,2,1,2,0,0,2,1,1,1,0,52
41,0,4,0,999,3,3,4,1,1,9,0,52428,995,1,6,1,0,0,1,1,2,1,0,0
48,0,4,0,999,2,1,1,1,1,9,0,52428,35,2,6,1,0,0,1,1,1,1,0,10
22,0,4,0,999,2,1,4,1,1,9,0,52428,5,2,1,1,0,0,1,1,1,2,0,0
25,0,4,0,999,2,1,5,2,1,9,0,52428,130,2,1,2,0,0,1,3,1,1,0,52
18,0,4,0,999,2,3,3,1,1,9,0,52428,995,1,1,2,0,0,1,1,2,2,0,0
47,0,17,0,999,2,1,2,2,1,9,1,52428,90,2,5,1,0,0,1,3,1,1,0,13
7,0,35,0,999,99,3,10,1,1,9,1,996147,995,0,6,2,0,0,1,1,2,1,0,0
9,0,40,0,999,0,3,10,1,1,9,0,996147,995,0,6,2,0,0,2,1,2,1,0,42
3,0,4,0,999,0,1,1,1,1,9,1,996147,108,0,2,9,0,0,2,1,2,2,0,0
35,0,4,0,999,1,1,7,1,1,9,0,52428,114,2,6,2,0,0,2,1,1,2,0,52
55,0,4,0,999,0,3,2,1,1,9,0,52428,995,1,2,1,0,0,1,1,1,1,0,17
6,0,50,0,999,1,3,4,2,1,9,0,996147,995,0,6,2,0,0,2,1,2,1,0,0
30,0,4,0,999,6,1,2,1,1,9,1,52428,99,2,1,2,0,0,0,1,1,2,0,52
15,0,4,2,999,2,3,2,2,1,9,1,52428,995,1,1,2,0,0,1,3,2,1,0,0
14,0,5,0,999,2,3,8,2,1,9,0,996147,995,1,1,3,0,0,2,1,2,1,0,0
3,0,29,0,999,0,3,1,1,1,9,0,996147,995,0,6,9,0,0,1,1,1,1,0,0
26,0,410,0,1,2,3,8,2,1,9,0,52428,995,1,1,1,0,0,1,3,2,1,0,0
7,0,4,0,999,2,3,5,2,1,9,0,996147,995,0,6,2,0,0,1,1,2,1,0,0
2,0,4,0,999,1,3,3,1,1,3,1,996147,995,0,6,2,0,0,2,1,2,1,0,0
40,0,4,0,999,1,1,5,1,1,9,0,52428,21,2,6,2,0,0,2,1,1,2,0,52
12,0,4,0,999,1,3,7,2,1,9,0,996147,995,0,6,2,0,0,2,1,1,1,0,0
11,0,4,0,999,2,3,5,1,1,9,0,996147,995,0,6,9,0,0,1,3,1,1,0,0
50,0,18,0,999,1,2,4,1,1,9,0,52428,1,2,6,1,0,0,1,1,1,2,0,26
80,0,51,0,999,3,3,3,1,1,9,0,996147,995,1,1,2,0,0,2,1,2,1,0,0
30,0,4,0,999,0,1,4,1,1,9,0,52428,86,2,1,1,0,0,2,1,1,1,0,10
34,0,18,2,999,2,2,4,2,1,9,0,52428,120,2,4,1,0,0,1,3,2,1,0,52
39,0,48,0,999,1,3,3,1,1,9,1,52428,995,1,2,2,0,0,2,1,1,1,0,0
12,0,42,3,999,9,3,5,1,1,9,1,996147,995,0,6,2,0,0,1,1,1,2,0,0
65,0,4,0,999,6,3,4,1,1,9,0,52428,995,1,1,2,0,0,1,1,2,2,0,0
23,0,4,0,999,2,3,8,1,1,9,0,996147,995,0,6,2,0,3,1,1,1,1,0,0
7,0,40,0,999,0,3,4,2,1,9,1,52428,995,0,6,2,0,0,1,3,1,1,0,0
47,0,4,3,999,2,1,2,1,1,9,1,52428,39,2,1,3,0,0,2,1,1,1,0,30
5,0,4,0,159,0,3,6,1,1,9,0,996147,995,0,6,2,0,0,2,1,1,1,0,0
50,0,48,0,999,2,1,4,1,1,9,1,52428,5,2,1,2,0,4,2,1,1,2,0,44
1,0,4,0,999,2,3,10,1,1,9,0,52428,995,0,6,9,0,0,1,1,2,1,0,0
5,0,42,0,999,1,3,3,1,1,9,0,996147,995,0,6,2,0,0,2,1,2,2,0,0
69,0,6,0,999,2,2,2,2,1,9,0,52428,90,2,6,3,0,0,2,1,1,1,0,49
40,0,4,0,999,6,3,2,1,1,9,0,52428,995,1,1,2,0,0,1,1,2,2,0,0
